"Right of Public Access (Courts)","Derived from 1st Amendment. Ensures public/press access to criminal trials (*Richmond Newspapers*)."
"Branzburg v. Hayes (1972)","Supreme Court ruled there is NO general 'reporter's privilege' to refuse to testify before a grand jury."
"Zurcher v. Stanford Daily (1978)","Supreme Court ruled 4th Amendment does NOT protect newsrooms from valid search warrants."
"Privacy Protection Act (PPA) of 1980","Overruled *Zurcher*. Prohibits seizing public dissemination materials via search warrant (must use subpoena)."
"PPA Work Product (High Protection)","Materials created by the journalist (notes, drafts) in anticipation of communication to public."
"PPA Documentary Material","Materials obtained from others on which information is formally recorded (photos, tapes)."
"PPA Exception (Warrant Allowed)","1. Journalist is suspect.<br>2. Imminent danger.<br>3. Risk of destruction (documents only)."
"Civil Discovery Standard (FRCP Rule 26)","Parties may obtain discovery regarding any nonprivileged matter **relevant** to a claim/defense and **proportional** to case needs."
"FRCP Proportionality Factors","Issues' importance, Amount in controversy, Access to info, Burden vs. Benefit."
"5 Discovery Devices","Requests for Production (RFP), Depositions, Interrogatories, Requests for Admission, Subpoenas."
"Sedona Conference","Think-tank providing influential guidance on E-Discovery and Information Governance."
"Information Governance (Discovery)","Holistic management of info assets. Reduces 'data debris' to lower e-discovery costs/risks."
"International Discovery Conflict","US discovery is broad; EU/foreign laws (GDPR) are restrictive. 'Rock and a Hard Place' scenario."
"Societe Nationale (1987) Balancing Test","5 factors to resolve conflicts between US discovery and foreign blocking statutes (Importance, Specificity, Origin, Alternatives, National Interests)."
"FRCP Rule 5.2 (Redaction)","Mandates redaction in court filings:<br>**SSN/Tax ID:** Last 4 digits.<br>**Birth Date:** Year only.<br>**Minors:** Initials only.<br>**Financial Acct:** Last 4 digits."
"E-Discovery Process (EDRM Model - Simplified)","Preservation (Legal Hold) -> Collection -> Processing -> Review (Redaction) -> Production."
"California (CCPA/CPRA) - Enforcement","Private Right of Action allowed (limited to security breaches). Agency: CPPA."
"California (CCPA/CPRA) - Sensitive Data","**Opt-Out** Rights ('Limit Use of Sensitive PI')."
"CCPA Vendor Contracts (2023)","Controllers MUST enter into contracts with *any* third party they share data with."
"Virginia (VCDPA) - Enforcement","Enforced SOLELY by the Attorney General (No private right of action)."
"Virginia (VCDPA) - Sensitive Data","**Opt-In** Consent required."
"Colorado (CPA) - Appeals","First state to require an internal appeals process for denied requests (45 days)."
"Colorado (CPA) - Functional Role","Fact-based: Processors acting like Controllers become Controllers."
"Connecticut (CTDPA)","Stronger privacy protections (Opt-In for sensitive data); Safe Harbor for punitive damages."
"Utah (UCPA) - Business Friendly","Narrower rights: No Profiling Opt-Out, No Right to Correct, Deletion limited to data provided by consumer."
"Utah (UCPA) - Sensitive Data","**Notice + Opt-Out** (Less strict than VA/CO/CT Opt-In)."
"Florida (FDBR)","Targeted at 'Big Tech' (High revenue threshold: $1B+)."
"Maryland (Unique Restriction)","Strictly **prohibits** sensitive data processing (no consent exception) with narrow exceptions."
"Processing Records Mandate","**California** and **Minnesota** require detailed records of ALL processing activities (GDPR-style)."
"Secondary Use Consent","Most states require Opt-In. Exceptions (No statutory opt-in): **CA, IA, RI, UT**."
"Cure Periods (Trends)","Many mandatory cure periods (e.g., CO/CT 60 days) had **sunset dates** and have now ended (discretionary)."
"Private Right of Action (State General Privacy)","Generally **NO** (except California for security breaches)."
"Constitutional Law (Definition)","The highest source of U.S. law. No other law may conflict with it."
"Supremacy Clause (Article VI)","Establishes the Constitution as the supreme law of the land."
"Does the word 'Privacy' appear in the Constitution?","No. It is an implied right derived from other amendments."
"3rd Amendment","Prohibition on quartering soldiers (Privacy of the Home)."
"4th Amendment","Protection against unreasonable searches and seizures (Privacy of the Person/Possessions)."
"5th Amendment","Protection against self-incrimination (Privacy of Information)."
"9th Amendment","Acknowledges that there are other rights retained by the people that are not listed in the Constitution."
"14th Amendment","Due process and equal protection clauses (applies Bill of Rights to States)."
"Penumbra Theory","Mechanism established in *Griswold v. Connecticut* (1965). Holds that specific rights cast 'shadows' creating zones of privacy."
"Griswold v. Connecticut (1965)","Landmark case challenging a CT ban on contraceptives. Established the **Right to Privacy** via Penumbra Theory."
"Amendments forming the 'Penumbra'","1st, 3rd, 4th, 5th, and 9th."
"State Constitutions (Privacy Rights)","Can provide **greater** privacy rights than the Federal Constitution (e.g., California), but cannot provide less."
"Federal vs. State Privacy Floor","Federal law sets the 'floor' (minimum protection). States can build a higher 'ceiling'."
"Personal Jurisdiction","A court's authority over the person/entity being sued. Established by presence, residence, consent, or minimum contacts."
"Subject Matter Jurisdiction","A court's authority to hear specific types of disputes."
"General Jurisdiction","State courts have this power to hear almost any type of case."
"Limited Jurisdiction","Federal courts have this power to hear only specific types of cases (e.g., federal laws, diversity jurisdiction)."
"Exclusive Jurisdiction","When ONLY a specific court can hear a case (e.g., bankruptcy or copyright in federal court)."
"Removal Jurisdiction","A defendant's ability to move a case filed in state court to federal court (if federal jurisdiction exists)."
"Person (Legal Definition)","A legal entity that can sue, be sued, own property, and sign contracts. Includes humans and corporations."
"Preemption","Law from a higher authority (federal) overrides lower authority (state), per the Supremacy Clause."
"Private Right of Action (PRA)","The ability for individuals to directly sue for violations of a law (e.g., CCPA for data breaches, TCPA)."
"Lacks Private Right of Action","Laws enforced only by government agencies (e.g., HIPAA, GLBA, FERPA)."
"Civil Litigation (Standard of Proof)","Preponderance of the evidence (>50%)."
"Criminal Litigation (Standard of Proof)","Beyond a reasonable doubt (highest standard)."
"Civil Remedies","Money damages, injunctions, declaratory judgments."
"Criminal Punishment","Imprisonment, criminal fines."
"Negligence (4 Elements)","1. Duty of care<br>2. Breach of duty<br>3. Damages<br>4. Causation"
"Invasion of Privacy Torts (4 Types)","1. Invasion of solitude<br>2. Public disclosure of private facts<br>3. False light<br>4. Appropriation"
"Public disclosure of private facts","Disclosure of truthful, non-newsworthy info that would offend a reasonable person."
"False light","Disclosing info that causes a person to be falsely perceived by others (similar to defamation but broader)."
"Appropriation","Unauthorized use of someone's name or likeness."
"Analyzing a Law (4 Steps)","1. Scope (Who?)<br>2. Application (What data?)<br>3. Preemption<br>4. Enforcement"
"Affirmative Consent (Opt-In)","Processing is prohibited unless consumer says 'Yes'. (e.g., COPPA, HIPAA marketing)."
"Implied Consent (Opt-Out)","Processing is permitted unless consumer says 'No'. (e.g., GLBA sharing, CAN-SPAM)."
"Private Right of Action - Litigation Risk","High. Class actions can lead to massive aggregate liability."
"Government Enforcement Only - Litigation Risk","Moderate. Fines can be large but are less frequent than class actions."
"Data Governance (Definition)","Programs identifying, tracking, and managing sensitive information to ensure consistent handling practices."
"Data Inventory","First step in management. Cataloging types/locations of sensitive info (PII, PHI, Financial, etc.)."
"Data Classification","Organizing data into categories (e.g., Confidential vs. Public) based on sensitivity and impact of unauthorized disclosure. Guides security controls."
"NIST SP 800-53","Guidance specifying controls for low, moderate, and high-impact information."
"Data Flow Mapping","Tracking how PI is received, handled, shared, and disposed of. Produces diagrams identifying privacy/regulatory concerns."
