"Constitutional Law (Definition)","The highest source of U.S. law. No other law may conflict with it."
"Supremacy Clause (Article VI)","Establishes the Constitution as the supreme law of the land."
"Does the word 'Privacy' appear in the Constitution?","No. It is an implied right derived from other amendments."
"3rd Amendment","Prohibition on quartering soldiers (Privacy of the Home)."
"4th Amendment","Protection against unreasonable searches and seizures (Privacy of the Person/Possessions)."
"5th Amendment","Protection against self-incrimination (Privacy of Information)."
"9th Amendment","Acknowledges that there are other rights retained by the people that are not listed in the Constitution."
"14th Amendment","Due process and equal protection clauses (applies Bill of Rights to States)."
"Penumbra Theory","Mechanism established in *Griswold v. Connecticut* (1965). Holds that specific rights cast 'shadows' creating zones of privacy."
"Griswold v. Connecticut (1965)","Landmark case challenging a CT ban on contraceptives. Established the **Right to Privacy** via Penumbra Theory."
"Amendments forming the 'Penumbra'","1st, 3rd, 4th, 5th, and 9th."
"State Constitutions (Privacy Rights)","Can provide **greater** privacy rights than the Federal Constitution (e.g., California), but cannot provide less."
"Federal vs. State Privacy Floor","Federal law sets the 'floor' (minimum protection). States can build a higher 'ceiling'."
