"Automated Employment Decision Tools (AEDT) - Regional Laws","**NYC:** Bias audits + 10-day notice.<br>**IL:** Notice/explanation + demographic reporting.<br>**MD:** Facial recognition waiver."
"ADA & AI (3 Violations)","1. Failure to Accommodate (if tool requires ability candidate lacks).<br>2. Screening Out (unintentional filtering).<br>3. Illegal Medical Inquiries."
"iTutorGroup (2022) Case","EEOC settlement ($365k) for hiring software that automatically rejected older applicants (ADEA violation)."
"National Child Protection Act (1993)","Allows state officials access to FBI (NCIC) database to screen employees working with children/elderly."
"FCRA Certification Rule","Employer must certify to CRA: 1. Notification/Permission obtained. 2. Will comply with Adverse Action duties. 3. Non-discrimination."
"FCRA Pre-Adverse Action","Employer must provide a **copy of the report** and a **written summary of rights** BEFORE taking adverse action."
"Investigative Consumer Report (FCRA)","Requires specific notice if interviewing neighbors/associates about character."
"Ban the Box / Fair Chance Act (2019)","Prohibits federal agencies/contractors from requesting criminal background info **prior to a conditional job offer**."
"Employee Polygraph Protection Act (EPPA) - Exemptions","1. Government.<br>2. Defense Contractors.<br>3. Security Services.<br>4. Pharma Manufacturers (Controlled Substances)."
"EPPA 'Ongoing Investigation' Exception","Private employers CAN use polygraph if: Specific economic loss (theft), employee had access, reasonable suspicion, and signed statement."
"Drug-Free Workplace Act","Encourages but does NOT generally mandate drug testing (except for specific sectors like transportation/DOT)."
"Social Media Password Laws","Growing trend of states prohibiting employers from requesting usernames/passwords for private accounts."
