"FTC Governance","Governed by a Chairperson and four additional Commissioners."
"FTC Section 5 Authority","Prohibits 'unfair or deceptive acts or practices in or affecting commerce.'"
"FTC Rulemaking Process","Section 18 ("Magnuson-Moss Act"). More rigorous than standard APA rulemaking. Requires a finding that practices are prevalent."
"Deceptive Trade Practices (3-Part Test)","1. Material representation/omission.<br>2. Likely to mislead a reasonable consumer.<br>3. To the consumer's detriment."
"Unfair Trade Practices (3-Part Test)","1. Causes substantial injury.<br>2. Not reasonably avoidable by consumers.<br>3. Not outweighed by countervailing benefits to consumers or competition."
"FTC Jurisdiction Exclusions","Non-profits, most banks/financial institutions, and common carriers."
"FTC Private Right of Action","None. Only the government can sue under the FTC Act."
"FTC Enforcement Lifecycle (Review)","ALJ Hearing -> Appeal to 5 FTC Commissioners -> Appeal to Federal Circuit Court of Appeal."
"FTC Civil Penalties","Up to $53,088 per violation (as of July 2025). The FTC must generally seek these in federal court."
"AMG Capital v. FTC (Impact)","Supreme Court ruled Section 13(b) cannot be used for equitable monetary relief (like restitution/disgorgement). FTC now relies on Section 19 or new rules."
"Algorithmic Disgorgement","Remedy requiring companies to delete algorithms/models developed using improperly obtained data (e.g., Everalbum)."
"LabMD v. FTC (2018)","11th Circuit ruling. Held that FTC orders must be specific. 'Reasonable security' is too vague; concrete directives are required."
"FTC v. Wyndham (2015)","3rd Circuit ruling. Affirmed FTC authority to regulate cybersecurity as an 'unfair' practice under Section 5."
"Consent Decree (Features)","Settlement agreement (force of court order), publicly posted, usually no admission of guilt, requires compliance reporting (often 20 years)."
"Everalbum (2021)","First major use of algorithmic disgorgement."
"Uber (2017 - Security Case)","Failed to use MFA and stored unencrypted geolocation data in the cloud."
"Lenovo (2017 - Security Case)","Pre-installed 'man-in-the-middle' adware (Superfish) bypassing browser encryption."
"Equifax (2019 - Security Case)","Massive breach (147M records) due to failure to patch known vulnerabilities and segment servers."
"VTech (2018 - Security Case)","First child privacy case against an IoT device maker."
"Dark Patterns (4 Elements)","1. False Beliefs.<br>2. Hidden Disclosures.<br>3. Unauthorized Charges.<br>4. Obscured Choices."
"FTC Unfair Methods of Competition (Test)","1. Conduct must be a method of competition.<br>2. Conduct must be unfair (coercive, exclusionary, etc.)."
