"GLBA Scope ('Finders')","Revised Safeguards Rule expanded 'financial institution' to include 'Finders' (companies connecting consumers to lenders)."
"GLBA Consumer vs. Customer","**Consumer:** One-off transaction (Notice only if sharing).<br>**Customer:** Ongoing relationship (Full Initial + Annual Notices)."
"GLBA Opt-Out Right","Consumers can Opt-Out of sharing NPI with **non-affiliated third parties**."
"GLBA Exceptions (No Opt-Out)","1. Joint Marketing (own products).<br>2. Service Providers.<br>3. Legal Compliance/Fraud Prevention."
"GLBA Pretexting Provisions","Illegal to obtain customer info by false pretenses (social engineering). Criminal penalties."
"CFPB (Authority)","Created by Dodd-Frank. Regulates consumer financial products. Supervises banks >$10B assets."
"CFPB UDAAP Standard","Unfair, Deceptive, or **Abusive** Acts and Practices."
"CFPB 'Abusive' Definition","Materially interferes with understanding terms OR takes unreasonable advantage of consumer's lack of understanding/reliance."
"CFPB Civil Investigative Demand (CID)","Powerful subpoena power allowing CFPB to demand documents/testimony BEFORE commencing legal proceedings."
"California Financial Information Privacy Act (CalFIPA)","Stricter than GLBA. Requires **Opt-In** for non-affiliated sharing and **Opt-Out** for affiliate sharing (unless preempted by FCRA)."
"Right to Financial Privacy Act (RFPA)","Prohibits federal government access to bank records without warrant/subpoena + **notice** to customer."
"Bank Secrecy Act (SARs)","Must file Suspicious Activity Report (SAR) for transactions >$5k suggesting money laundering. **Strictly confidential** (cannot tell customer)."
"USA PATRIOT Act (KYC)","Requires Customer Identification Program (CIP). Must verify identity (Name, DoB, Address, SSN) for new accounts."
"Dodd-Frank Section 1033 (Open Banking)","Grants consumers right to access financial data in machine-readable format. Mandates shift from screen scraping to APIs."
"NYDFS Cybersecurity Regulation (Greenlist)","List of pre-approved cryptocurrencies that entities can use without separate approval."
