"Post-Dobbs Legal Uncertainty","The Supreme Court's Dobbs decision narrowed the federal constitutional basis for reproductive health privacy, shifting protections to state laws."
"HIPAA (Primary Focus)","Regulates the privacy and security of Protected Health Information (PHI) held by Covered Entities and Business Associates."
"GINA (Genetic Information Nondiscrimination Act)","Prohibits health insurers and employers from discriminating based on genetic info. Genetic info is considered PHI under HIPAA."
"21st Century Cures Act","Prohibits 'information blocking' (penalties up to $1M). Requires developers to publish APIs for patient data access 'without special effort'."
"42 C.F.R. Part 2 (Scope)","Confidentiality for Substance Use Disorder (SUD) patient records. Generally prohibits redisclosure without consent."
"Regulatory Gap (Health Data)","HIPAA only applies to Covered Entities. Health data from fitness trackers, social media, or non-covered apps is often not federally protected."
"FTC Health Breach Notification Rule (HBNR) Scope","Applies to non-HIPAA covered entities, specifically PHR vendors and third-party service providers."
"HBNR 'Media Rule'","Must notify media if a breach affects more than 500 residents of a single state/jurisdiction."
"HBNR Notification Timeline","Without unreasonable delay and no later than 60 days after discovery."
"GoodRx Enforcement Action (2023)","First HBNR enforcement case. Resulted from GoodRx unauthorized sharing of health data with advertising platforms."
"FDA Medical Device Definition","Instrument intended for use in the diagnosis or treatment of disease."
"21st Century Cures Act (Device Exclusion)","Excludes 'low risk' software functions (e.g., General Wellness apps) from the 'device' definition."
"General Wellness Exclusion (2 Categories)","1. General Health (e.g., sleep trackers).<br>2. Disease Association (e.g., lifestyle apps reducing chronic disease risk, without specific treatment advice)."
"FDA 'Cyber Device' Requirement","Must submit a post-market plan to monitor and address vulnerabilities."
"Direct-to-Consumer (DTC) Genetic Testing Laws","States like CA, VA, UT have specific laws governing security and consent for DTC genetic testing companies."
"FTC Oversight of MedTech","Section 5 applies to non-HIPAA MedTech companies. Focuses on misleading claims or improper sharing of sensitive health/location data."
