"Script Kiddies","Unskilled attackers using pre-built tools for thrill/convenience."
"Hacktivists","Attackers motivated by political/social causes (activist goals)."
"Criminal Syndicates","Organized groups motivated by illegal financial gain."
"Advanced Persistent Threats (APTs)","Nation-state actors/sophisticated groups. Long-term campaigns for espionage/intellectual property theft."
"Insiders","Employees/contractors with authorized access who misuse it."
"Zero-Day Attacks","Exploits unknown to vendors (no patch available)."
"Ransomware","Malware encrypting data for ransom. Newer variants threaten data disclosure (double extortion)."
"Security Event (NIST Definition)","Any observable occurrence in a system/network (e.g., user accessing a file)."
"Adverse Event (NIST Definition)","Any event with negative consequences (e.g., malware infection)."
"Security Incident (NIST Definition)","A violation or imminent threat of violation of security policies."
"Incident Response Plan (4 Phases - NIST)","1. Preparation.<br>2. Detection & Analysis.<br>3. Containment, Eradication, & Recovery.<br>4. Post-Incident Activity."
"Containment Strategy","Active measures to stop the spread of an incident while evidence is gathered."
"Post-Incident Activity (Key Steps)","Lessons-learned review (independent) and evidence/record retention (3 years for federal agencies)."
"FTC Data Breach Response (4 Steps)","1. Secure Operations (Containment).<br>2. Analyze/Fix Vulnerabilities.<br>3. Notify Parties.<br>4. Proactive Steps (Audits)."
"Data Breach Notification (US)","No single federal law (except specific sectors like HIPAA). ALL 50 states have their own notification laws."
