"GDPR (Scope)","Applies to ANY organization offering goods/services to or monitoring behavior of people in the EU (Extraterritorial)."
"GDPR (Definition of Personal Data)","Any info identifying a 'natural person' (data subject). Protects anyone physically in the EU, regardless of citizenship."
"GDPR (Rights)","Erasure (Forgotten), Access, Rectification, Portability, Object, No Automated Decision Making."
"GDPR Breach Notification (Controller to DPA)","Must notify DPA within **72 hours** unless unlikely to result in risk."
"GDPR Breach Notification (To Subject)","Required 'without undue delay' only if **High Risk** to rights/freedoms."
"GDPR Penalties","Up to **€20 Million** or **4% of annual global revenue**."
"International Transfer Tools (EU)","Adequacy Decisions, Binding Corporate Rules (BCRs), Standard Contractual Clauses (SCCs), Derogations (Exceptions)."
"Schrems II (2020)","Invalidated Privacy Shield because US surveillance laws (FISA 702) overrode EU protections."
"Transfer Impact Assessment (TIA)","Mandatory step after Schrems II to verify if destination laws undermine safeguards (SCCs/BCRs)."
"EU-US Data Privacy Framework (DPF) - 2023","Current framework. US companies self-certify with Dept of Commerce. Enforced by FTC."
"APEC Privacy Framework","Non-binding framework for Asia-Pacific. Promotes flexible digital trade."
"APEC Cross-Border Privacy Rules (CBPR)","Voluntary certification system (e.g., TrustArc) demonstrating compliance with APEC principles."
"APEC CPEA","Cross-border Privacy Enforcement Arrangement. Framework for regional PE Authorities to share info/investigate."
"reCAPTCHA Compliance Trap","Paradox where tool is needed for security but collecting data before consent violates GDPR (and getting consent requires loading the tool)."
