"HIPAA Scope (Covered Entities)","Health Plans, Clearinghouses, and Providers who transmit health info electronically."
"HIPAA Scope (Business Associate)","Third party that creates, receives, maintains, or transmits PHI on behalf of a Covered Entity. Directly liable under HITECH."
"HIPAA Employment Record Exclusion","HIPAA explicitly EXCLUDES employment records held by a covered entity in its role as an employer."
"HIPAA Privacy Rule (Minimum Necessary)","Requires that the minimum amount of PHI necessary to accomplish the purpose be used/disclosed."
"Designated Record Set (Access Right)","Patients have the right to access medical/billing records. Request must be fulfilled within **30 days**."
"Valid Authorization (6 Elements)","1. Description of info.<br>2. Identity of granter.<br>3. Identity of recipient.<br>4. Purpose.<br>5. Expiration date.<br>6. Signature/Date."
"HIPAA Security Rule (Addressable Specifications)","Controls that must be assessed. If not reasonable/appropriate, entity must document why and implement an equivalent alternative."
"HITECH Breach Standard","A breach is **presumed** unless the entity demonstrates a **low probability** that PHI was compromised via a risk assessment."
"Breach Risk Assessment (4 Factors)","1. Nature/extent of PHI.<br>2. Unauthorized person identity.<br>3. Whether PHI was acquired/viewed.<br>4. Mitigation extent."
"Breach Notification (Media)","Must notify media within 60 days if breach affects >500 residents of a single state/jurisdiction."
"Breach Notification (HHS)","If >500: Immediate notification.<br>If <500: Annual log (reported within 60 days of year-end)."
"HIPAA 2021 Safe Harbor","HHS may mitigate fines/audits if 'recognized security practices' (NIST/405(d)) were in place for **12 months** prior."
"21st Century Cures Act (Info Blocking)","Prohibits interference with ePHI access. Penalties up to $1M per violation."
"Certificates of Confidentiality","Issued by NIH to prevent research data from being used in legal proceedings without consent."
"42 CFR Part 2 (Strict Consent)","Requires specific consent including the 'Part 2 Program' name and a prohibition on **redisclosure**."
"42 CFR Part 2 (Redisclosure)","Recipients are strictly prohibited from redisclosing Part 2 records without new patient consent."
