"Federal Trade Commission (FTC) (Primary Authority)","Enforces Section 5 (Unfair/Deceptive Practices), COPPA (Children), and Telemarketing Sales Rule."
"Federal Communications Commission (FCC) (Authority)","Regulates telecommunications, enforcing laws like the TCPA."
"Dept. of Health and Human Services (HHS) (Authority)","Enforces HIPAA (Privacy & Security Rules) for healthcare."
"Concurrent Jurisdiction (Example)","Multiple agencies regulating the same issue (e.g., HHS handles HIPAA admin enforcement, DOJ handles criminal HIPAA charges, FTC handles unfair/deceptive practices in health)."
"Consumer Financial Protection Bureau (CFPB) (Authority)","Regulates consumer financial products and parts of FCRA."
"Department of Commerce (Role)","Handles policy development and international frameworks (e.g., Data Privacy Framework). Does NOT have enforcement authority."
"State Attorneys General (Powers)","Chief legal officers of the states. Enforce state UDAP laws. Can also enforce federal laws like HIPAA and FCRA."
"UDAP Statutes (State Scope)","Every state has a UDAP law. Many are broader than the FTC Act, prohibiting 'unconscionable' practices."
"UDAP Private Right of Action (Gap-Filler)","Every state except Iowa provides a Private Right of Action under UDAP, filling the gap left by the FTC Act's lack of PRA."
"California Privacy Protection Agency (CPPA)","First dedicated state-level privacy agency (created by CPRA). 5-member board with strict independence and post-employment bans."
"CPPA Enforcement Lifecycle","1. Probable Cause Hearing (Private, 30 days notice)<br>2. Public Hearing (if probable cause found)."
"Massachusetts 201 CMR 17.00 (Scope)","Applies to ANY person (regardless of location) owning/licensing PI of a MA resident."
"WISP Mandate (MA 201 CMR 17.00)","Requires a Written Information Security Program. Includes designating an accountable employee, risk assessments, and encryption."
"California AB-1950 (Data Security)","First state-wide data security law. Requires 'reasonable security procedures' appropriate to the nature of the info."
"Self-Regulatory Organizations (SROs) - Benefits","Industry expertise, flexibility, speed of adaptation."
"Self-Regulatory Organizations (SROs) - Critiques","Potential anti-competitive behavior, lax enforcement ('fox guarding the henhouse'), lack of stakeholder input."
"PCI-DSS (Enforcement Model)","Standards set by PCI Council, but enforced by individual Card Brands (Visa/Amex) via fines ($5k-$100k/mo) on acquiring banks."
"Co-Regulatory Enforcement (Safe Harbor)","Government laws allow compliance via approved industry programs. Example: COPPA Safe Harbor (companies comply with FTC-approved programs like BBB or TrustArc instead of direct FTC oversight)."
