"Social Security Numbers (California Prohibition)","Civil Code 1798.85 prohibits: Publicly posting SSNs, printing on ID cards, requiring for login without password, mailing with SSN visible, sending unencrypted over internet."
"Social Security Numbers (Colorado Prohibition)","Prohibits public entities from issuing a license, permit, or pass that contains the holder's SSN."
"Washington My Health My Data Act","Protects non-HIPAA health data, restricts geofencing near healthcare facilities, includes private right of action."
"Illinois Genetic Information Privacy Act (GIPA)","Prohibits genetic discrimination in employment/insurance; includes private right of action."
"New York Geofencing Restriction (Health)","Prohibits geofencing around healthcare facilities for advertising/profiling. Radius: 1,850 feet."
"Delaware DOPPA (Unique Feature)","Regulates disclosure of e-book viewing data. Requires court order showing 'compelling interest'."
"California Age-Appropriate Design Code","Requires high privacy defaults and DPIAs for services likely accessed by children."
"New York SAFE For Kids Act","Prohibits 'addictive feeds' for minors without parental consent. Nighttime notification ban (12 AM - 6 AM)."
"CalECPA","Requires warrants for law enforcement to access electronic communications (emails, location data)."
"Illinois BIPA (Consent)","Strict written consent required before collecting biometrics."
"Illinois BIPA (2024 Amendment)","Liability limits: One violation per person (not per scan). 'Written release' includes electronic signatures."
"Washington & Texas CUBI","Regulate biometric capture/sale but enforced ONLY by the State AG (no private right of action)."
"Facial Recognition Bans (State Examples)","Maryland (Hiring), New York (Schools), VT/ME/VA (Police/Gov use)."
"Colorado SB 24-205 (AI)","Regulates 'high-risk' AI systems making consequential decisions (hiring, lending)."
"NYC Local Law 144 (AI)","Requires bias audits for AI tools used in employment."
"CA Financial Information Privacy Act (CalFIPA)","Stricter than GLBA. Requires Opt-In for sharing with unaffiliated third parties."
"NYDFS Cybersecurity Regulation","Mandates rigorous security (CISO, Encryption, MFA) for financial institutions in NY."
"California Delete Act (Data Brokers)","Centralized deletion mechanism. 2028 Audit requirement (every 3 years). Penalty: $200/day per request."
"Vermont Data Broker Law (2018)","First state law regulating data brokers. Requires annual registration, security program, and free credit freezes."
