"California SSN Law","Prohibits public posting, printing on ID cards, mailing in window evenlopes, or sending unencrypted over internet."
"Washington My Health My Data Act","Protects non-HIPAA health data. Restricts geofencing. Private Right of Action."
"Illinois Genetic Information Privacy Act (GIPA)","Prohibits genetic discrimination in employment/insurance. Private Right of Action."
"New York Geofencing Restriction","Prohibits geofencing around healthcare facilities (within **1,850 feet**) for ads/profiling."
"Delaware (DOPPA) - E-Books","Non-gov entities need court order w/ 'compelling interest' to access e-book viewing data."
"California Age-Appropriate Design Code","Requires high privacy defaults & DPIAs for services likely accessed by children."
"New York SAFE For Kids Act","Bans 'addictive feeds' for minors w/o parental consent. Restricts notifications 12am-6am."
"CalECPA","Requires **warrant** for electronic communications access (email, location)."
"Illinois BIPA (Biometric Information Privacy Act)","Strict consent for biometrics. Private Right of Action. 2024 amendment: One violation per person (not per scan)."
"BIPA Definition Update","Now explicitly includes **electronic signatures** as valid written release."
"Maryland Facial Recognition Ban","Prohibits use in **hiring process** without applicant consent."
"New York Facial Recognition Ban","Prohibits use in **schools**."
"Colorado AI Law (SB 24-205)","Regulates 'High-Risk' AI systems making consequential decisions (hiring/lending)."
"NYC AI Law (Local Law 144)","Requires **Annual Bias Audits** for AI hiring tools."
"California Financial Information Privacy Act (CFIPA)","Stricter than GLBA. Requires Opt-In for sharing with unaffiliated third parties."
"California Delete Act (Data Brokers)","Centralized deletion mechanism. 2028: Independent audits every 3 years. Penalty: $200/day."
"Vermont Data Broker Law","First state data broker law. Requires annual registration, security program, free credit freezes."
