"Telemarketing (Call Time Restriction)","Federal: 8am - 9pm (local time). States (e.g., AL) may be stricter."
"Telemarketing (Required Disclosures)","Promptly disclose: Identity of Seller, Purpose of call, Nature of goods/services."
"Telemarketing (Payment Auth)","Requires Express Verifiable Authorization (audio recording or written) for non-credit/debit payments."
"Do-Not-Call (Registry Scrubbing)","Sellers must access the National Registry every **31 days** and scrub lists."
"State DNC Registries","Many states maintain separate registries that must ALSO be honored."
"EBR Exception (DNC)","Established Business Relationship allows calls for **18 months** after purchase or **3 months** after inquiry."
"DNC Safe Harbor (6 Requirements)","1. Procedures.<br>2. Training.<br>3. Internal List.<br>4. Access National Registry.<br>5. Monitor.<br>6. Call was error."
"TCPA Private Right of Action","Consumers can sue for **$500** per violation (trebled to **$1,500** for willful)."
"Junk Fax Protection Act (JFPA)","Regulates unsolicited fax ads. Generally requires EBR + Voluntary provision of number."
"JFPA Opt-Out Notice","Must appear on first page, be cost-free (24/7), and honored within **30 days**."
"CAN-SPAM (Scope)","Regulates all commercial electronic messages (email, social media, SMS to email)."
"CAN-SPAM (Transactional Exemption)","No opt-out required for transactional messages (e.g., receipts). Primary purpose test applies."
"CAN-SPAM (Requirements)","1. No false headers.<br>2. No deceptive subjects.<br>3. Honor Opt-Out (10 days).<br>4. Physical Address included."
"Wireless Domain Registry (FCC)","Senders must check this list to ensure no commercial messages are sent to mobile domains without **express prior authorization**."
"CAN-SPAM Preemption","Preempts most state laws EXCEPT those prohibiting falsity/deception."
"Video Privacy Protection Act (VPPA)","Regulates video tape service providers (and streaming). Prohibits disclosure of viewing history without informed, written consent."
"VPPA (2012 Amendment)","Allows one-time consent (e.g., for social sharing) valid for up to **2 years**."
"VPPA (Destruction)","Data must be destroyed as soon as practicable, no later than **1 year** after purpose expires."
"Cable Communications Policy Act (1984)","Regulates cable operators (NOT broadband ISPs). Requires annual notice and consent for collection/disclosure."
"Cable Act Damages","Statutory damages of **$100/day** or **$1,000** (whichever is higher)."
"Driver's Privacy Protection Act (DPPA)","Protects driver's license info. Upheld in *Reno v. Condon* under **Commerce Clause** authority."
"DPPA Permissible Uses (Marketing)","Marketing allowed ONLY with **express consent (Opt-In)**."
"CPNI (Customer Proprietary Network Information)","Metadata about telecom usage (technical config, destination, amount of use). Enforced by FCC."
"CPNI vs. Subscriber List Info","Subscriber List Info (Name/Address/Phone) is PUBLIC and not protected CPNI."
"CPNI Breach Notification","Notify Law Enforcement (USSS/FBI) within **7 business days**. CANNOT notify customer until period passes."
