"Data Controller Liability (Vendors)","The Controller remains legally responsible for any misuse of data by its vendors (Processors)."
"Vendor Vetting Criteria (Financial Stability)","Includes assessing if the vendor has appropriate **cyberinsurance** to cover breaches/litigation."
"Vendor Vetting Criteria (Security Controls)","Vendor controls must be as good as or better than the Controller's (e.g., evidenced by SOC 2, ISO 27001)."
"Confidentiality Clause","Prohibition on sharing data with unauthorized parties."
"No Further Use Clause","Vendor must not use data for any purpose other than those specified in the agreement."
"Audit Rights","Controller must retain the right to audit the vendor's security/privacy practices."
"Subcontractor Flow-Down","Vendors must be contractually obligated to apply the same privacy/security requirements to any downstream subcontractors."
"End of Relationship Clause","Must specify whether data is returned or deleted at the end of the contract."
"Master Service Agreement (MSA)","Umbrella contract for long-term work, including general security/privacy requirements."
"Statement of Work (SOW)","Documents project-specific details, referencing the overarching MSA."
"Service-Level Agreement (SLA)","Specifies conditions of service (availability, response time) and remedies for failure."
"Business Associate Agreement (BAA)","Required by HIPAA. Obligates vendors (Business Associates) to comply with HIPAA security/privacy rules."
"Vendor Incident Management","Agreements must clearly spell out the vendor's obligation to report known/suspected security incidents to the customer."
