"Department of Labor (DOL)","Enforces FLSA (Labor Standards) and ERISA (Benefits Privacy)."
"Equal Employment Opportunity Commission (EEOC) Structure","Five members appointed by President regarding anti-discrimination (ADA, Title VII, GINA)."
"National Labor Relations Board (NLRB)","Protects collective bargaining/organizing. Regulates surveillance intimidating union activities."
"NLRB v. Colgate-Palmolive","Ruled covert video surveillance is a mandatory subject of collective bargaining."
"At-Will Employment","Default US rule. Employers can fire/change terms for any (non-illegal) reason. Grants broad monitoring authority."
"Title VII of Civil Rights Act (1964)","Prohibits discrimination based on race, color, religion, nat'l origin, sex."
"Disparate Treatment","Intentional discrimination based on a protected trait."
"Disparate Impact","Facially neutral policy that disproportionately effects a protected group (unintentional)."
"Age Discrimination in Employment Act (ADEA)","Protects employees/applicants **40+** years old."
"Americans with Disabilities Act (ADA) - Medical Exams","**Pre-Offer:** Banned.<br>**Post-Offer:** Allowed if job-related and consistent w/ business necessity."
"Genetic Information Nondiscrimination Act (GINA)","Prohibits using genetic info (incl. family medical history) for employment decisions or health underwriting."
"EEOC Charge Filing","Must file charge with EEOC first (Administrative Exhaustion). Employer notified within **10 days**. Can only sue after 'Right to Sue' letter."
"Employee Polygraph Protection Act (EPPA)","Prohibits lie detector tests for private employers (with narrow exceptions for security firms/drug manufacturers)."
"Fair Credit Reporting Act (FCRA) - Employment","Employers must get written authorization to use consumer reports. Adverse Action requires providing a copy of the report."
